🤖 CYBORG 🤖 2025-11-30T18:10:33,544 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] INFO  [UI] - Creating driver using provider [ChromeDriverProvider]. Headless: [true], Remote: [true], Remote URL: [http://localhost:4444]
🤖 CYBORG 🤖 2025-11-30T18:10:36,971 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] INFO  [QUEST] - The quest: 'readTableWithSpecifiedColumns_validateCell(Quest)' has begun and is crafted.
🤖 CYBORG 🤖 2025-11-30T18:10:37,069 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] INFO  [QUEST] - The quest has used the ring: 'io.cyborgcode.ui.simple.test.framework.ui.AppUiService'
🤖 CYBORG 🤖 2025-11-30T18:10:38,217 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Clicking button using locator: By.id: signin_button
🤖 CYBORG 🤖 2025-11-30T18:10:39,046 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Inserting value: 'username' into input component of type: 'BOOTSTRAP_INPUT_TYPE'.
🤖 CYBORG 🤖 2025-11-30T18:10:40,041 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Inserting value: 'password' into input component of type: 'BOOTSTRAP_INPUT_TYPE'.
🤖 CYBORG 🤖 2025-11-30T18:10:40,602 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Clicking button using locator: By.cssSelector: input[value='Sign in']
🤖 CYBORG 🤖 2025-11-30T18:10:41,726 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Clicking button using locator: By.id: online-banking
🤖 CYBORG 🤖 2025-11-30T18:10:42,463 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Clicking link BOOTSTRAP_LINK_TYPE using locator By.id: account_activity_link
🤖 CYBORG 🤖 2025-11-30T18:10:43,313 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Selecting items Find Transactions from list BOOTSTRAP_LIST_TYPE using locator By.className: ui-tabs-nav
🤖 CYBORG 🤖 2025-11-30T18:10:44,032 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Checking if items Find Transactions are selected in list BOOTSTRAP_LIST_TYPE using locator By.className: ui-tabs-nav
🤖 CYBORG 🤖 2025-11-30T18:10:44,250 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] VALIDATION [QUEST] - Starting hard validation...
🤖 CYBORG 🤖 2025-11-30T18:10:44,297 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] VALIDATION [QUEST] - Hard validation completed successfully.
🤖 CYBORG 🤖 2025-11-30T18:10:44,302 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Inserting value: '2012-01-01' into input component of type: 'BOOTSTRAP_INPUT_TYPE'.
🤖 CYBORG 🤖 2025-11-30T18:10:44,929 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Inserting value: '2012-12-31' into input component of type: 'BOOTSTRAP_INPUT_TYPE'.
🤖 CYBORG 🤖 2025-11-30T18:10:45,483 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Inserting value: '1' into input component of type: 'BOOTSTRAP_INPUT_TYPE'.
🤖 CYBORG 🤖 2025-11-30T18:10:45,959 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Inserting value: '1000' into input component of type: 'BOOTSTRAP_INPUT_TYPE'.
🤖 CYBORG 🤖 2025-11-30T18:10:46,476 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Selecting option Any in container with locator By.id: aa_type for select component BOOTSTRAP_SELECT_TYPE
🤖 CYBORG 🤖 2025-11-30T18:10:46,515 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Selecting options [Any] in container with locator By.id: aa_type for select component BOOTSTRAP_SELECT_TYPE
🤖 CYBORG 🤖 2025-11-30T18:10:47,906 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Clicking button using locator: By.cssSelector: button[type='submit']
🤖 CYBORG 🤖 2025-11-30T18:10:48,426 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] STEP  [UI] - Reading table as class 'FilteredTransactionEntry' with fields [io.cyborgcode.roa.ui.components.table.base.TableField$$Lambda$2393/0x00007f9d008cd418@59c35bd4, io.cyborgcode.roa.ui.components.table.base.TableField$$Lambda$2393/0x00007f9d008cd418@74ca8a9e]
🤖 CYBORG 🤖 2025-11-30T18:10:49,194 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] VALIDATION [QUEST] - Starting hard validation...
🤖 CYBORG 🤖 2025-11-30T18:10:49,208 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] VALIDATION [QUEST] - Hard validation completed successfully.
🤖 CYBORG 🤖 2025-11-30T18:10:49,216 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] INFO  [QUEST] - The quest has dropped the ring.
🤖 CYBORG 🤖 2025-11-30T18:10:49,222 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] INFO  [QUEST] - The quest has reached his end
🤖 CYBORG 🤖 2025-11-30T18:10:49,401 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] INFO  [UI] - WebDriver closed successfully.
🤖 CYBORG 🤖 2025-11-30T18:10:49,413 [scenario=TableComponentExampleTests.readTableWithSpecifiedColumns_validateCell] INFO  [QUEST] - The quest of 'readTableWithSpecifiedColumns_validateCell(Quest)' has concluded with glory. Status: SUCCESS. Duration: 18 seconds.
