"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 30 18:10:03 UTC 2025","Sun Nov 30 18:10:15 UTC 2025","11983","","UI Authentication with Cached Session","","io.cyborgcode.ui.simple.test.framework.AuthenticationViaUITests","testScenario_3","testScenario_3(Quest)","Login session is reused from cached login"
"passed","Sun Nov 30 18:10:08 UTC 2025","Sun Nov 30 18:10:27 UTC 2025","18596","","Progressive UI Features: Basic to Advanced","","io.cyborgcode.ui.simple.test.framework.BasicToAdvancedFeatureTests","multipleJourneys_combinedPreconditions_noJourneyData","multipleJourneys_combinedPreconditions_noJourneyData(Quest)","PreQuest with multiple @Journey entries to compose preconditions, no JourneyData"
"passed","Sun Nov 30 18:10:46 UTC 2025","Sun Nov 30 18:10:55 UTC 2025","9280","","Table Component: Read, Interact and Validate Examples","","io.cyborgcode.ui.simple.test.framework.TableComponentExampleTests","clickButtonInCellFoundByCriteria_usingDataObject","clickButtonInCellFoundByCriteria_usingDataObject(Quest, OutFlow)","Click a button inside a cell found by search criteria using data object"
"passed","Sun Nov 30 18:10:47 UTC 2025","Sun Nov 30 18:10:58 UTC 2025","11372","","Table Component: Read, Interact and Validate Examples","","io.cyborgcode.ui.simple.test.framework.TableComponentExampleTests","readEntireTable_validateWithAssertionTypes","readEntireTable_validateWithAssertionTypes(Quest)","Read entire table and validate using table assertion types"
"passed","Sun Nov 30 18:10:11 UTC 2025","Sun Nov 30 18:10:32 UTC 2025","21074","","Core Components: Fundamentals and Usage Examples","","io.cyborgcode.ui.simple.test.framework.GettingStartedTests","components_validateUsingSoftAssertions","components_validateUsingSoftAssertions(Quest)","Component Covered: Validate using Soft Assertions"
"passed","Sun Nov 30 18:10:03 UTC 2025","Sun Nov 30 18:10:14 UTC 2025","11140","","UI Authentication with Cached Session","","io.cyborgcode.ui.simple.test.framework.AuthenticationViaUITests","testScenario_1","testScenario_1(Quest)","Login is handled once via @AuthenticateViaUi and reused"
"passed","Sun Nov 30 18:10:08 UTC 2025","Sun Nov 30 18:10:27 UTC 2025","18917","","Progressive UI Features: Basic to Advanced","","io.cyborgcode.ui.simple.test.framework.BasicToAdvancedFeatureTests","baseline_simpleFlow_noAdvancedFeatures","baseline_simpleFlow_noAdvancedFeatures(Quest)","Baseline simple flow without advanced framework features"
"passed","Sun Nov 30 18:10:27 UTC 2025","Sun Nov 30 18:10:33 UTC 2025","6253","","Progressive UI Features: Basic to Advanced","","io.cyborgcode.ui.simple.test.framework.BasicToAdvancedFeatureTests","authenticateViaUi_perTestNoCache","authenticateViaUi_perTestNoCache(Quest)","AuthenticateViaUi performs login per test without session caching"
"passed","Sun Nov 30 18:10:29 UTC 2025","Sun Nov 30 18:10:49 UTC 2025","20305","","Table Component: Read, Interact and Validate Examples","","io.cyborgcode.ui.simple.test.framework.TableComponentExampleTests","readTableWithSpecifiedColumns_validateCell","readTableWithSpecifiedColumns_validateCell(Quest)","Read table with specific columns and validate target cell value"
"passed","Sun Nov 30 18:10:11 UTC 2025","Sun Nov 30 18:10:24 UTC 2025","12867","","Core Components: Fundamentals and Usage Examples","","io.cyborgcode.ui.simple.test.framework.GettingStartedTests","components_browserButtonInputLinkSelectAlert","components_browserButtonInputLinkSelectAlert(Quest)","Components Covered: Browser, Button, Input, Link, Select, Alert"
